community,treatment,P_time,V_time,rep,dilution,P,V,V_prop,P_prop,P_density,V_density,productivity
VD4PC4,Coculture,6 weeks,10 weeks,4,5,4,111,0.965217391,0.034782609,11428571.43,317142857.1,115
VD5PC5,Coculture,6 weeks,10 weeks,5,5,3,38,0.926829268,0.073170732,8571428.571,108571428.6,41
PaVF3,Community,ancestor,10 weeks,3,5,7,64,0.901408451,0.098591549,20000000,182857142.9,71
VF3PF3,Community,10 weeks,10 weeks,3,5,7,50,0.877192982,0.122807018,20000000,142857142.9,57
PaVE3,Community,ancestor,6 weeks,3,5,8,46,0.851851852,0.148148148,22857142.86,131428571.4,54
PaVE4,Community,ancestor,6 weeks,4,5,11,53,0.828125,0.171875,31428571.43,151428571.4,64
VF6PF6,Community,10 weeks,10 weeks,6,5,8,36,0.818181818,0.181818182,22857142.86,102857142.9,44
PaVE6,Community,ancestor,6 weeks,6,5,9,40,0.816326531,0.183673469,25714285.71,114285714.3,49
PaVE7,Community,ancestor,6 weeks,7,5,9,37,0.804347826,0.195652174,25714285.71,105714285.7,46
VF2PF2,Community,10 weeks,10 weeks,2,5,10,41,0.803921569,0.196078431,28571428.57,117142857.1,51
PaVC5,Coculture,ancestor,6 weeks,5,5,9,34,0.790697674,0.209302326,25714285.71,97142857.14,43
PaVC8,Coculture,ancestor,6 weeks,8,5,11,41,0.788461538,0.211538462,31428571.43,117142857.1,52
PaVE2,Community,ancestor,6 weeks,2,5,11,40,0.784313725,0.215686275,31428571.43,114285714.3,51
PaVE8,Community,ancestor,6 weeks,8,5,10,36,0.782608696,0.217391304,28571428.57,102857142.9,46
PaVF8,Community,ancestor,10 weeks,8,5,9,31,0.775,0.225,25714285.71,88571428.57,40
VaPC8,Coculture,6 weeks,ancestor,8,5,7,24,0.774193548,0.225806452,20000000,68571428.57,31
PaVF7,Community,ancestor,10 weeks,7,5,9,30,0.769230769,0.230769231,25714285.71,85714285.71,39
PaVC4,Coculture,ancestor,6 weeks,4,5,11,36,0.765957447,0.234042553,31428571.43,102857142.9,47
VaPF6,Community,10 weeks,ancestor,6,5,6,19,0.76,0.24,17142857.14,54285714.29,25
VaPF5,Community,10 weeks,ancestor,5,5,9,28,0.756756757,0.243243243,25714285.71,80000000,37
VD8PC8,Coculture,6 weeks,10 weeks,8,5,11,34,0.755555556,0.244444444,31428571.43,97142857.14,45
VF2PE2,Community,6 weeks,10 weeks,2,5,14,43,0.754385965,0.245614035,40000000,122857142.9,57
PaVC6,Coculture,ancestor,6 weeks,6,5,17,52,0.753623188,0.246376812,48571428.57,148571428.6,69
VE6PE6,Community,6 weeks,6 weeks,6,5,11,33,0.75,0.25,31428571.43,94285714.29,44
VD5PD5,Coculture,10 weeks,10 weeks,5,5,7,21,0.75,0.25,20000000,60000000,28
VE3PE3,Community,6 weeks,6 weeks,3,5,7,21,0.75,0.25,20000000,60000000,28
VF8PE8,Community,6 weeks,10 weeks,8,5,7,21,0.75,0.25,20000000,60000000,28
VF8PF8,Community,10 weeks,10 weeks,8,5,11,32,0.744186047,0.255813953,31428571.43,91428571.43,43
PaVC3,Coculture,ancestor,6 weeks,3,5,13,37,0.74,0.26,37142857.14,105714285.7,50
PaVD2,Coculture,ancestor,10 weeks,2,5,13,37,0.74,0.26,37142857.14,105714285.7,50
VaPD1,Coculture,10 weeks,ancestor,1,5,11,31,0.738095238,0.261904762,31428571.43,88571428.57,42
PaVF4,Community,ancestor,10 weeks,4,5,11,31,0.738095238,0.261904762,31428571.43,88571428.57,42
PaVD7,Coculture,ancestor,10 weeks,7,5,12,33,0.733333333,0.266666667,34285714.29,94285714.29,45
VaPC3,Coculture,6 weeks,ancestor,3,5,8,22,0.733333333,0.266666667,22857142.86,62857142.86,30
VD4PD4,Coculture,10 weeks,10 weeks,4,5,14,38,0.730769231,0.269230769,40000000,108571428.6,52
PaVD6,Coculture,ancestor,10 weeks,6,5,12,32,0.727272727,0.272727273,34285714.29,91428571.43,44
VC5PD5,Coculture,10 weeks,6 weeks,5,5,9,24,0.727272727,0.272727273,25714285.71,68571428.57,33
VD3PD3,Coculture,10 weeks,10 weeks,3,5,8,21,0.724137931,0.275862069,22857142.86,60000000,29
PaVD8,Coculture,ancestor,10 weeks,8,5,13,34,0.723404255,0.276595745,37142857.14,97142857.14,47
VF5PF5,Community,10 weeks,10 weeks,5,5,13,34,0.723404255,0.276595745,37142857.14,97142857.14,47
PaVD4,Coculture,ancestor,10 weeks,4,5,15,39,0.722222222,0.277777778,42857142.86,111428571.4,54
VF7PF7,Community,10 weeks,10 weeks,7,5,10,26,0.722222222,0.277777778,28571428.57,74285714.29,36
